,Player,Mat,Inns,Runs,Ave,SR,100,50
417,AJ Hall (SA),88,56,905,21.04,75.04,0,3
418,Rashid Khan (AFG),71,56,905,19.25,99.88,0,4
419,MJ Santner (NZ),69,54,898,27.21,87.95,0,2
420,TD Paine (AUS),35,35,890,27.81,70.8,1,5
421,KL Rahul (INDIA),26,25,889,42.33,80.96,3,5
422,JWA Taylor (ENG),27,26,887,42.23,80.12,1,7
423,J Srinath (INDIA),229,121,883,10.63,79.62,0,1
424,Yashpal Sharma (INDIA),42,40,883,28.48,63.02,0,4
425,TT Bresnan (ENG),85,64,871,19.79,90.25,0,1
426,SHT Kandamby (SL),39,36,870,29,69.6,0,5
427,AC Voges (AUS),31,28,870,45.78,87.17,1,4
428,DJ Richardson (SA),122,77,868,19.72,66.87,0,1
429,MA Vermeulen (ZIM),43,43,868,22.25,70.74,0,6
430,HK Badani (INDIA),40,36,867,33.34,73.47,1,4
431,GO Jones (ENG/PNG),51,43,862,24.62,77.17,0,4
432,TT Samaraweera (SL),53,42,862,27.8,69.29,2,0
433,SB Smith (AUS),28,24,861,39.13,65.27,2,8
434,DL Amiss (ENG),18,18,859,47.72,72.48,4,1
435,RA Harper (WI),105,73,855,16.13,73.58,0,0
436,WB Phillips (AUS),48,41,852,24.34,85.71,0,6
437,CWJ Athey (ENG),31,30,848,31.4,56.72,2,4
438,RS Kalpage (SL),86,69,844,20.58,63.93,0,1
439,MAR Samarasekera (SL),39,39,844,22.81,69.92,0,4
440,D Ganga (WI),35,34,843,25.54,59.61,0,9
441,CA Ingram (SA),31,29,843,32.42,82.32,3,3
442,BM McMillan (SA),78,52,841,23.36,73.32,1,0
443,CK Coventry (ZIM),39,35,831,24.44,88.68,1,3
444,Anshuman Rath (HKG),18,18,828,51.75,76.66,1,7
445,PJ Moor (ZIM),49,45,827,20.67,67.51,0,4
446,DW Hookes (AUS),39,36,826,24.29,72.07,0,5
447,PJ Hughes (AUS),25,24,826,35.91,75.09,2,4
448,AI Kallicharran (WI),31,28,826,34.41,62.15,0,6
449,JR Ratnayeke (SL),78,69,824,14.98,52.45,0,1
450,GN Yallop (AUS),30,27,823,39.19,63.89,0,7
451,AC Waller (ZIM),39,38,818,23.37,69.79,0,4
452,DM de Silva (SL),42,39,814,25.43,75.86,0,4
453,Sharjeel Khan (PAK),25,25,812,32.48,113.4,1,6
454,YK Pathan (INDIA),57,41,810,27,113.6,2,3
455,AT Carey (AUS),29,26,804,40.2,91.99,0,4
456,JM Davison (CAN),32,32,799,26.63,104.17,1,5
457,Aminul Islam (BDESH),39,39,794,23.35,56.59,0,3
458,Z Khan (Asia/INDIA),200,101,792,12,73.46,0,0
459,GB Hogg (AUS),123,65,790,20.25,78.68,0,2
460,Majid Khan (PAK),23,22,786,37.42,74.71,1,7
461,S Wettimuny (SL),35,33,786,24.56,48.04,0,4
462,Babar Hayat (HKG),22,22,784,39.2,78.47,0,8
463,R Lamba (INDIA),32,31,783,27,67.15,1,6
464,IH Romaine (BMUDA),35,34,783,25.25,64.07,1,4
465,JA Morkel (Afr/SA),58,43,782,23.69,100.25,0,2
466,Wasim Raja (PAK),54,45,782,22.34,66.95,0,2
467,Abdur Razzak (BDESH),153,97,779,13.43,76.37,0,1
468,AR White (IRE),61,46,776,18.04,62.83,0,1
469,Liton Das (BDESH),33,33,768,24.77,88.17,1,3
470,Saleem Yousuf (PAK),86,62,768,17.86,75,0,4
471,CN Evans (ZIM),53,47,764,18.19,75.94,0,2
472,Rizwan Cheema (CAN),33,32,764,24.64,111.53,0,6
473,KWR Fletcher (ENG),24,22,757,39.84,66.75,1,5
474,J Dyson (AUS),29,27,755,32.82,48.61,0,4
475,AR Cusack (IRE),59,47,745,22.57,64.27,0,2
476,AG Cremer (ZIM),96,71,744,14.58,62.2,0,1
477,G Fowler (ENG),26,26,744,31,56.32,0,4
478,DT Johnston (IRE),67,53,743,19.55,94.64,0,0
479,Manzoor Elahi (PAK),54,46,741,22.45,89.6,0,1
480,AM Samad (CAN),27,27,740,29.6,70.81,1,2
481,A Vala (PNG),27,27,739,27.37,68.29,1,2
482,PA Patel (INDIA),38,34,736,23.74,76.5,0,4
483,Sohaib Maqsood (PAK),26,25,735,31.95,83.42,0,5
484,MW Machan (SCOT),23,22,734,33.36,77.1,1,3
485,CJ Nevin (NZ),37,36,732,20.33,73.2,0,4
486,N Pooran (WI),19,17,728,52,110.13,1,5
487,CJ Tavare (ENG),29,28,720,27.69,48.94,0,4
488,TP Ura (PNG),26,26,718,27.61,80.49,1,2
489,MA Ealham (ENG),64,45,716,17.46,65.56,0,0
490,IJ Harvey (AUS),73,51,715,17.87,88.16,0,0
491,Muhammad Usman (UAE),30,30,713,27.42,76.83,0,3
492,Saqlain Mushtaq (PAK),169,98,711,11.85,49.58,0,0
493,LJ Wright (ENG),50,39,707,20.2,86.21,0,2
494,Mohammad Rizwan (PAK),32,28,705,33.57,89.58,2,3
495,J Mubarak (SL),40,37,704,22.7,63.13,0,4
496,PA Wallace (WI),33,33,701,21.24,60.9,1,2
497,SM Ervine (ZIM),42,34,698,25.85,85.53,1,2
498,PL Symcox (SA),80,54,694,16.92,83.61,0,3
499,Rameez Shahzad (UAE),15,15,691,53.15,84.57,2,4
500,PAJ DeFreitas (ENG),103,66,690,16.04,83.83,0,1
501,N Deonarine (WI),31,29,682,26.23,68.95,0,4
502,Wahab Riaz (PAK),89,64,680,13.87,86.4,0,2
503,JR Murray (WI),55,36,678,22.6,72.98,0,5
504,TG Southee (NZ),140,85,676,12.75,98.54,0,1
505,R Ashwin (INDIA),111,61,675,16.07,86.98,0,1
506,Nizakat Khan (HKG),20,20,675,33.75,82.92,0,3
507,M Muralitharan (Asia/ICC/SL),350,162,674,6.8,77.56,0,0
508,IM Chappell (AUS),16,16,673,48.07,77,0,8
509,DA Marillier (ZIM),48,41,672,18.16,70.81,1,3
510,Rohan Mustafa (UAE),34,33,671,20.33,68.12,1,1
511,R Powell (WI),34,31,670,23.92,83.12,1,2
512,UC Hathurusingha (SL),35,33,669,20.9,50.75,0,4
513,AC Botha (IRE),42,38,666,19.58,68.65,0,2
514,HE van der Dussen (SA),18,14,664,73.77,81.87,0,7
515,CJ Ferguson (AUS),30,25,663,41.43,85.32,0,5
516,LE Plunkett (ENG),89,50,646,20.83,102.7,0,1
517,S Ramesh (INDIA),24,24,646,28.08,59.15,0,6
518,AK Markram (SA),26,24,643,27.95,85.16,0,2
519,Qasim Umar (PAK),31,31,642,22.92,57.06,0,4
520,Abdul Qadir (PAK),104,68,641,15.26,75.5,0,0
521,DL Hemp (BMUDA),22,22,641,33.73,70.28,1,4
522,CEL Ambrose (WI),176,96,639,10.65,64.87,0,0
523,BMAJ Mendis (SL),58,44,636,18.7,82.7,0,1
524,C de Grandhomme (NZ),38,29,633,27.52,107.28,0,3
525,JF Reid (NZ),25,24,633,27.52,58.39,0,4
526,DLS van Bunge (NL),37,31,633,21.1,66.42,0,3
527,PSP Handscomb (AUS),22,20,632,33.26,97.38,1,4
528,RMH Binny (INDIA),72,49,629,16.12,60.13,0,1
529,GR Larsen (NZ),121,70,629,14.62,64.84,0,0
530,AM Blignaut (ZIM),54,41,626,18.96,106.28,0,5
531,DJ Nash (NZ),81,53,624,15.6,66.38,0,0
532,DN Patel (NZ),75,63,623,11.75,71.77,0,1
533,RR Patel (KENYA),39,35,621,20.03,63.49,0,2
534,GRJ Matthews (AUS),59,50,619,16.72,67.94,0,1
535,WV Raman (INDIA),27,27,617,23.73,55.63,1,3
536,GJ Rennie (ZIM),40,37,617,19.9,66.48,0,2
537,SFAF Bacchus (WI),29,26,612,26.6,65.94,0,3
538,RJ Ratnayake (SL),70,55,612,16.54,86.8,0,0
539,J Botha (Afr/SA),78,50,609,19.03,85.77,0,0
540,D Gough (ENG/ICC),159,87,609,12.42,64.3,0,0
541,AJ Hollioake (ENG),35,30,606,25.25,75.09,0,3
542,RW Chakabva (ZIM),38,35,599,18.15,58.89,0,1
543,RIC Holder (WI),37,31,599,23.96,68.37,0,2
544,RT Robinson (ENG),26,26,597,22.96,58.18,0,3
545,BM Laird (AUS),23,23,594,29.7,53.75,1,2
546,Mansoor Akhtar (PAK),41,35,593,17.44,51.65,0,0
547,W Larkins (ENG),25,24,591,24.62,56.44,1,0
548,LOB Cann (BMUDA),26,25,590,26.81,117.06,0,1
549,AU Rashid (ENG),99,43,588,18.96,102.43,0,1
550,FDM Karunaratne (SL),28,24,586,26.63,73.15,0,4
551,RJ Nicol (NZ),22,21,586,30.84,75.51,2,2
552,SB Joshi (INDIA),69,45,584,17.17,89.43,0,1
553,RT Latham (NZ),33,33,583,20.1,57.83,0,1
554,Khurram Khan (UAE),16,16,582,41.57,80.27,1,3
555,R Mutumbami (ZIM),33,31,582,20.06,71.49,0,3
556,JL Carter (WI),33,28,581,23.24,70.68,0,3
557,GH Dockrell (IRE),87,57,579,16.54,69.34,0,2
558,DAS Gunaratne (SL),31,25,575,27.38,79.41,1,1
559,BJ Hodge (AUS),25,21,575,30.26,87.51,1,3
560,MJR Rindel (SA),22,22,575,27.38,66.86,1,2
561,Tushar Imran (BDESH),41,40,574,14.35,59.17,0,2
562,BJ Watling (NZ),28,25,573,24.91,68.37,0,5
563,C White (ENG),51,41,568,15.77,61.2,0,1
564,SL Malinga (SL),226,119,567,6.83,74.5,0,1
565,RM Haq (SCOT),54,40,566,16.64,60.79,0,3
566,KS More (INDIA),94,65,563,13.09,69.67,0,0
567,HG Munsey (SCOT),25,25,562,25.54,76.77,0,2
568,CR Brathwaite (WI),44,37,559,16.44,91.04,1,1
569,Mominul Haque (BDESH),28,26,557,22.28,74.36,0,3
570,Aamer Malik (PAK),24,23,556,25.27,56.21,0,5
571,RJ Peterson (SA),79,41,556,20.59,80.81,0,1
572,GS Blewett (AUS),32,30,551,20.4,61.97,0,2
573,JN Mohammed (WI),28,24,551,23.95,69.3,0,4
574,Mosaddek Hossain (BDESH),35,30,549,27.45,86.72,0,2
575,AL Phehlukwayo (SA),52,32,549,32.29,90,0,1
576,TJ Friend (ZIM),51,39,548,16.11,75.69,0,3
577,T Duffin (ZIM),23,23,546,23.73,54.98,0,3
578,Mohammad Wasim (PAK),25,25,543,23.6,52.06,0,3
579,XM Marshall (USA/WI),33,33,542,18.06,66.91,1,1
580,AP Kuiper (SA),25,23,539,33.68,81.41,0,3
581,P Willey (ENG),26,24,538,23.39,62.92,0,5
582,MC Snedden (NZ),93,54,535,15.28,63.46,0,1
583,Athar Ali Khan (BDESH),19,19,532,29.55,56.29,0,3
584,IS Billcliff (CAN),19,19,529,27.84,66.7,0,4
585,SCJ Broad (ENG),121,68,529,12.3,74.61,0,0
586,NN Odhiambo (KENYA),69,53,528,12,71.64,0,1
587,B Kumar (INDIA),114,52,526,14.21,74.82,0,1
588,Naved-ul-Hasan (PAK),74,51,524,15.87,84.51,0,0
589,Amjad Ali (UAE),17,17,520,30.58,76.47,0,3
590,LK Germon (NZ),37,31,519,19.96,65.94,0,3
591,Mudassar Bukhari (NL),46,34,516,17.2,76.9,0,2
592,TAM Siriwardana (SL),27,24,516,22.43,98.28,0,3
593,KM Dabengwa (ZIM),37,34,514,19.03,60.39,0,0
594,PK Amre (INDIA),37,30,513,20.52,64.2,0,2
595,Dawlat Zadran (AFG),82,56,513,17.68,77.25,0,0
596,KD Walters (AUS),28,24,513,28.5,70.08,0,2
597,JG Bracewell (NZ),53,43,512,16.51,71.4,0,0
598,DP Viljoen (ZIM),53,43,512,14.22,61.91,0,2
599,JM Brearley (ENG),25,24,510,24.28,45.53,0,3
600,WD Parnell (SA),65,38,508,21.16,78.39,0,1
601,AO Suji (KENYA),60,46,506,12.97,51.79,0,1
602,AN Petersen (SA),21,19,504,28,82.62,0,4
603,Taufeeq Umar (PAK),22,22,504,24,56.31,0,3
604,PR Reiffel (AUS),92,57,503,13.97,70.94,0,1
605,AR Nurse (WI),54,40,502,19.3,97.85,0,0
606,JE Emburey (ENG),61,45,501,14.31,75.45,0,0
607,Ghulam Shabber (UAE),23,23,500,21.73,62.5,0,4
608,GP Swann (ENG),79,48,500,13.88,90.41,0,0
609,JH Davey (SCOT),31,28,497,22.59,66.98,0,2
610,JJ Tucker (BMUDA),26,26,496,19.84,68.31,0,1
611,DJ Callaghan (SA),29,25,493,25.94,67.9,1,0
612,Mohammad Mithun (BDESH),24,21,493,25.94,74.81,0,4
613,Naimur Rahman (BDESH),29,27,488,19.52,63.29,0,0
614,JWM Dalrymple (ENG),27,26,487,19.48,72.47,0,2
615,AC Cummins (CAN/WI),76,49,486,13.5,82.93,0,0
616,R McLaren (SA),54,41,485,18.65,71.32,0,1
617,MRJ Veletta (AUS),20,19,484,32.26,75.38,0,2
618,CS Baugh (WI),47,35,482,20.08,67.03,0,0
619,AA Mulla (CAN),24,24,482,20.08,81,0,1
620,SR Patel (ENG),36,22,482,32.13,93.23,0,1
621,CD Wallace (SCOT),28,24,482,20.95,91.46,0,4
622,DJ Reekers (NL),19,19,481,25.31,117.03,1,0
623,TN de Grooth (NL),34,32,480,17.14,62.01,0,1
624,DA Minors (BMUDA),20,20,478,26.55,60.42,0,3
625,BG Rogers (ZIM),15,15,478,31.86,69.37,0,5
626,S Lee (AUS),45,35,477,17.66,95.4,0,0
627,SS Iyer (INDIA),12,10,476,47.6,104.84,0,6
628,Karim Sadiq (AFG),24,22,475,23.75,80.91,2,0
629,MA Leask (SCOT),34,28,474,21.54,108.46,0,3
630,CA Best (WI),24,23,473,24.89,68.55,1,2
631,AJ Bichel (AUS),67,36,471,20.47,78.5,0,1
632,L Siaka (PNG),25,25,471,18.84,75.23,1,1
633,H Patel (CAN),23,23,468,21.27,80.13,0,2
634,MD Shanaka (SL),22,19,468,26,115.84,0,3
635,CH Morris (SA),42,27,467,20.3,100.43,0,1
636,ALF de Mel (SL),57,41,466,14.56,78.31,0,0
637,AO Malhotra (INDIA),20,19,457,30.46,70.85,0,1
638,Umar Gul (PAK),130,65,457,9.72,71.18,0,0
639,C Sharma (INDIA),65,35,456,24,90.47,1,0
640,GEF Barnett (CAN),22,22,455,20.68,61.07,0,1
641,R Gunasekera (CAN),19,19,455,23.94,67.2,0,6
642,RR Hendricks (SA),18,18,455,26.76,76.98,1,2
643,MD Dai (PNG),18,18,454,28.37,77.6,0,3
644,Minhajul Abedin (BDESH),27,26,453,18.87,49.83,0,2
645,Mehrab Hossain (BDESH),18,18,449,24.94,58.84,1,2
646,WIA Fernando (SL),15,15,447,29.8,96.33,1,2
647,TE Blain (NZ),38,38,442,16.37,66.76,0,0
648,SAR Silva (SL),20,20,441,22.05,52.62,0,3
649,MK Pandey (INDIA),23,18,440,36.66,91.85,1,2
650,GR Viswanath (INDIA),25,23,439,19.95,52.89,0,2
651,RL Chase (WI),25,18,438,27.37,76.17,0,2
652,JP Maher (AUS),26,20,438,25.76,65.08,0,1
653,AH Omarshah (ZIM),28,28,437,16.8,50.81,0,1
654,PL Taylor (AUS),83,47,437,19.86,74.95,0,1
655,DN Chudasama (KENYA),20,19,434,22.84,63.35,1,1
656,CJ McDermott (AUS),138,78,432,7.08,87.8,0,0
657,CJO Smith (SCOT),27,26,432,19.63,67.5,0,2
658,Shafiqullah (AFG),24,21,430,22.63,105.39,0,2
659,DR Pringle (ENG),44,30,425,23.61,68.99,0,0
660,MN van Wyk (SA),17,17,425,26.56,68.88,0,4
661,AK Sharma (INDIA),31,27,424,20.19,90.4,0,3
662,RC Russell (ENG),40,31,423,17.62,66.3,0,1
663,AS Hansra (CAN),24,22,421,23.38,58.06,0,2
664,S Prasanna (SL),40,37,421,12.38,94.6,0,2
665,SMA Priyanjan (SL),23,20,420,23.33,80.45,0,2
666,AR Adams (NZ),42,34,419,17.45,100.47,0,0
667,SR Waters (KENYA),20,20,419,20.95,55.79,0,2
668,CO Browne (WI),46,32,415,17.29,70.33,0,0
669,Farhad Reza (BDESH),34,31,412,16.48,64.77,0,1
670,Usman Ghani (AFG),15,15,411,27.4,79.03,1,2
671,GB Brent (ZIM),70,54,408,12,58.45,0,1
672,CB Lambert (USA/WI),12,12,407,33.91,75.37,1,2
673,RW Price (ZIM),102,59,406,9.66,57.91,0,0
674,IR Bishop (WI),84,44,405,16.2,52.19,0,0
675,EA Brandes (ZIM),59,41,404,13.03,90.17,0,2
676,ID Blackwell (ENG),34,29,403,14.92,86.66,0,1
677,F Mutizwa (ZIM),17,15,403,31,80.27,0,4
678,JP Bray (IRE),15,15,401,28.64,67.5,2,0
679,RG de Alwis (SL),31,27,401,21.1,78.32,0,2
680,S Madan Lal (INDIA),67,35,401,19.09,62.17,0,1
681,TBM de Leede (NL),29,25,400,16.66,63.69,0,2
682,WS Jayantha (SL),17,17,400,26.66,75.47,0,2
683,Mushtaq Ahmed (PAK),144,76,399,9.5,57.16,0,0
684,Sohail Tanvir (PAK),62,40,399,13.75,87.11,0,1
685,DR Chumney (CAN),21,21,397,20.89,66.72,0,0
686,Mohammad Naveed (UAE),39,34,397,16.54,122.91,0,0
687,IA Karim (KENYA),9,9,396,44,75.86,2,1
688,AB Barath (WI),14,14,394,30.3,64.37,1,1
689,Shoaib Akhtar (Asia/ICC/PAK),163,84,394,8.95,73.23,0,0
690,T Thushara (SL),38,27,392,18.66,92.45,0,1
691,PJ Ongondo (Afr/KENYA),79,62,391,9.09,62.96,0,0
692,Mirwais Ashraf (AFG),46,38,387,14.33,71.27,0,1
693,AF Giles (ENG),62,35,385,17.5,69.87,0,0
694,Hannan Sarkar (BDESH),20,20,383,19.15,53.71,0,3
695,Sadiq Mohammad (PAK),19,19,383,21.27,50.72,0,2
696,Mehidy Hasan Miraz (BDESH),38,24,381,19.05,76.5,0,1
697,MH Dekker (ZIM),23,22,379,18.95,47.49,0,2
698,DM Wellham (AUS),17,17,379,25.26,54.22,0,1
699,S Bau (PNG),21,21,378,18.9,62.79,0,1
700,U Bhatti (CAN),36,30,378,17.18,73.68,0,0
701,GF Lawson (AUS),79,52,378,11.11,75.6,0,0
702,MR Ramprakash (ENG),18,18,376,26.85,69.11,0,1
703,Al Sahariar (BDESH),29,29,374,13.35,52.75,0,2
704,CC Lewis (ENG),53,40,374,14.38,81.48,0,0
705,SMH Kirmani (INDIA),49,31,373,20.72,60.55,0,0
706,DS de Silva (SL),41,29,371,19.52,53.69,0,0
707,S Chattergoon (WI),18,17,370,24.66,60.16,0,2
708,PJ Forrest (AUS),15,14,368,26.28,65.59,1,3
709,DW Steyn (Afr/SA),125,51,365,9.35,64.94,0,1
710,WM Darling (AUS),18,18,363,21.35,53.46,0,1
711,Mohammad Amir (PAK),61,30,363,18.15,81.75,0,2
712,SP Narine (WI),65,45,363,11,82.31,0,0
713,SS Karim (INDIA),34,27,362,15.73,64.64,0,1
714,R Rampaul (WI),92,40,362,12.48,76.69,0,1
715,Shahriar Hossain (BDESH),20,19,362,19.05,53.07,0,2
716,SW Ambris (WI),9,8,361,60.16,101.97,1,1
717,Asif Ali (PAK),18,14,361,27.76,128.92,0,3
718,DG Brownlie (NZ),16,15,361,25.78,74.27,0,1
719,Hazratullah Zazai (AFG),16,16,361,22.56,88.26,0,2
720,WK McCallan (IRE),39,28,361,20.05,86.15,0,1
721,RC Irani (ENG),31,30,360,14.4,65.57,0,1
722,Mushfiqur Rahman (BDESH),28,25,360,16.36,52.17,0,0
723,BJ Patel (KENYA),31,25,360,16.36,48.91,0,0
724,AD Brown (ENG),16,16,354,22.12,82.9,1,1
725,ADS Fletcher (WI),25,25,354,14.16,64.48,0,2
726,Nasir Jamal (AFG),16,14,352,27.07,65.54,0,3
727,Wajahatullah Wasti (PAK),15,15,349,23.26,48.94,0,1
728,Aaron Jones (USA),9,9,348,38.66,66.79,0,3
729,MA Starc (AUS),85,46,348,12.42,89.46,0,1
730,Zahid Fazal (PAK),19,18,348,23.2,59.58,0,2
731,RR Pant (INDIA),15,13,346,26.61,105.48,0,1
732,RDB Croft (ENG),50,36,345,14.37,66.47,0,0
733,Ashfaq Ahmed (UAE),16,16,344,21.5,88.88,0,2
734,GP Wickramasinghe (SL),134,64,344,8.6,63.35,0,0
735,DNT Zoysa (SL),95,47,343,13.19,95.81,0,0
736,HH Kanitkar (INDIA),34,27,339,17.84,66.21,0,1
737,M Vijay (INDIA),17,16,339,21.18,66.99,0,1
738,BE Congdon (NZ),11,9,338,56.33,71.61,1,2
739,CM Old (ENG),32,25,338,18.77,84.28,0,1
740,Shadab Khan (PAK),43,22,337,25.92,68.63,0,3
741,MG Burgess (NZ),26,20,336,16.8,65.24,0,0
742,NM Hauritz (AUS),58,32,336,22.4,96.27,0,1
743,SD Outerbridge (BMUDA),23,23,336,14.6,54.9,0,1
744,Tapash Baisya (BDESH),56,41,336,12,58.33,0,0
745,SS Pathirana (SL),18,14,332,25.53,86.68,0,1
746,KA Edwards (WI),16,16,331,23.64,67,1,0
747,Manjural Islam Rana (BDESH),25,21,331,20.68,49.55,0,1
748,S Mukuddem (BMUDA),20,18,331,23.64,50.92,0,1
749,Adnan Mufti (UAE),18,16,330,27.5,80.68,0,1
750,Asif Iqbal (PAK),10,8,330,55,70.81,0,5
751,ZE Surkari (CAN),23,22,328,17.26,50,0,0
752,DJ Capel (ENG),23,19,327,19.23,68.26,0,1
753,MH Yardy (ENG),28,24,326,20.37,69.06,0,2
754,ML Nkala (ZIM),50,35,324,10.8,61.59,0,0
755,Saeed Ajmal (PAK),113,70,324,7.04,60.56,0,0
756,RP Snell (SA),42,28,322,16.1,97.57,0,2
757,KJJ van Noortwijk (NL),9,9,322,46,75.23,1,1
758,Anwar Ali (PAK),22,16,321,29.18,87.46,0,0
759,CA Walsh (WI),205,79,321,6.97,71.17,0,0
760,RB McCosker (AUS),14,14,320,22.85,51.36,0,2
761,DR Brown (ENG/SCOT),25,24,319,17.72,66.32,0,1
762,HP Rinke (ZIM),18,18,317,17.61,83.86,0,3
763,Faisal Iqbal (PAK),18,16,314,22.42,60.5,1,0
764,NAM McLean (WI),45,34,314,12.07,81.98,0,1
765,Mohammad Sami (PAK),87,46,314,11.62,64.08,0,0
766,B Wood (ENG),13,12,314,31.4,48.53,0,2
767,VV Morea (PNG),13,13,313,26.08,68.04,0,3
768,RC Fredericks (WI),12,12,311,25.91,70.68,1,1
769,BR Hartland (NZ),16,16,311,20.73,49.91,0,2
770,Chirag Suri (UAE),14,14,310,22.14,56.88,0,2
771,N Chopra (INDIA),39,26,310,15.5,62.24,0,1
772,BC Hollioake (ENG),20,17,309,20.6,81.1,0,2
773,Nafees Iqbal (BDESH),16,16,309,19.31,54.4,0,2
774,KAJ Roach (WI),92,57,308,13.39,53.47,0,0
775,Ihsanullah (AFG),16,16,307,21.92,69.77,0,3
776,DM Benkenstein (SA),23,20,305,17.94,65.87,0,1
777,TK Musakanda (ZIM),15,15,304,21.71,79.58,0,1
778,LE Bosman (Afr/SA),14,12,301,25.08,98.68,0,2
779,CMW Read (ENG),36,24,300,17.64,73.17,0,0
780,WKM Benjamin (WI),85,52,298,7.45,73.39,0,0
781,GS Ballance (ENG),16,15,297,21.21,67.04,0,2
782,PA Nixon (ENG),19,18,297,21.21,85.59,0,0
783,Zahoor Elahi (PAK),14,14,297,22.84,58.57,0,3
784,CJA Amini (PNG),15,15,296,21.14,68.83,0,2
785,DN Crookes (SA),32,23,296,14.8,71.84,0,1
786,AJ Pycroft (ZIM),20,19,295,17.35,52.67,0,2
787,DR Tuffey (NZ),94,52,295,9.51,79.3,0,0
788,DL Murray (WI),26,17,294,24.5,62.82,0,2
789,SJ Myburgh (NL),13,13,294,24.5,86.72,0,2
790,JL Denly (ENG),13,11,293,26.63,65.54,0,2
791,SE Bond (NZ),82,40,292,16.22,76.04,0,0
792,P Kumar (INDIA),68,33,292,13.9,88.21,0,1
793,SM Sharif (SCOT),44,33,292,17.17,74.11,0,0
794,Tanwir Afzal (HKG),20,19,292,18.25,114.5,0,1
795,RN Lewis (WI),28,21,291,18.18,79.29,0,0
796,DA Reeve (ENG),29,21,291,24.25,74.8,0,0
797,CS Pandit (INDIA),36,23,290,20.71,72.5,0,0
798,Sanwar Hossain (BDESH),27,27,290,11.6,48.57,0,1
799,SMSM Senanayake (SL),49,33,290,13.18,93.24,0,0
800,JN Gillespie (AUS),97,39,289,12.56,78.53,0,0
801,IDR Bradshaw (WI),62,34,287,12.47,59.79,0,0
802,KM Curran (ZIM),11,11,287,26.09,66.74,0,2
803,LG Howell (NZ),12,12,287,23.91,73.96,0,4
804,MK Tiwary (INDIA),12,12,287,26.09,71.21,1,1
805,D Lloyd (ENG),8,8,285,40.71,54.18,1,0
806,VJ Marks (ENG),34,24,285,13.57,65.66,0,0
807,JAR Blain (SCOT),33,25,284,14.94,54.93,0,0
808,NO Miller (WI),50,27,284,20.28,79.1,0,1
809,LP van Troost (NL),23,20,284,15.77,62.28,0,0
810,A Dananjaya (SL),36,27,283,12.86,68.85,0,1
811,MA Holding (WI),102,42,282,9.09,74.8,0,2
812,MA Jones (SCOT),8,8,281,35.12,70.07,0,3
813,Hasan Ali (PAK),53,29,280,14,113.36,0,2
814,S Randiv (SL),31,18,280,17.5,73.29,0,1
815,CL King (WI),18,14,280,23.33,104.86,0,1
816,RS Sodhi (INDIA),18,14,280,25.45,73.49,0,2
817,DJ Willey (ENG),46,27,279,18.6,82.3,0,1
818,KC Brathwaite (WI),10,10,278,27.8,57.55,0,1
819,JE Taylor (WI),90,42,278,8.42,86.06,0,0
820,AV Vadher (KENYA),18,16,278,27.8,54.29,0,2
821,Mehrab Hossain jnr (BDESH),18,16,276,17.25,42.99,0,1
822,JM Anderson (ENG),194,79,273,7.58,48.66,0,0
823,DT Christian (AUS),19,18,273,21,88.92,0,0
824,GH Worker (NZ),10,10,272,34,71.76,0,3
825,SW Billings (ENG),15,12,271,22.58,90.93,0,2
826,JW Hastings (AUS),29,21,271,27.1,99.26,0,1
827,DT Tiripano (ZIM),31,22,271,16.93,57.9,0,0
828,Umar Amin (PAK),16,16,271,18.06,69.13,0,1
829,AM Bacher (SA),13,13,270,20.76,57.56,0,1
830,Jahurul Islam (BDESH),14,13,270,22.5,72.77,0,1
831,KBJ Azad (INDIA),25,21,269,14.15,67.25,0,0
832,AD Gaekwad (INDIA),15,14,269,20.69,52.84,0,1
833,AW Greig (ENG),22,19,269,16.81,71.16,0,0
834,M Morkel (Afr/SA),117,47,268,9.24,75.7,0,0
835,Aaqib Javed (PAK),163,51,267,10.68,58.55,0,0
836,Shamsur Rahman (BDESH),10,10,266,26.6,76,0,2
837,CA Soper (PNG),20,19,265,17.66,53.42,0,0
838,JM Vince (ENG),13,11,265,24.09,88.62,0,1
839,Afsar Zazai (AFG),17,16,264,17.6,54.09,0,2
840,MH Denness (ENG),12,11,264,29.33,63.3,0,1
841,S Jyoti (CAN),14,13,264,22,59.72,1,0
842,SP Patil (UAE),13,12,263,26.3,65.09,0,2
843,HJW Gardiner (SCOT),11,11,262,23.81,66.16,0,2
844,Mohammad Saifuddin (BDESH),20,12,262,29.11,81.36,0,2
845,Naved Latif (PAK),11,11,262,23.81,62.82,1,0
846,Aizaz Khan (HKG),19,15,260,20,69.51,0,0
847,MD Patel (USA),9,9,260,32.5,66.32,0,2
848,AR McBrine (IRE),42,25,259,16.18,72.75,0,1
849,K Rabada (SA),75,28,259,16.18,77.77,0,0
850,Ahmed Raza (UAE),28,24,258,12.9,55.72,0,1
851,KJ Wadsworth (NZ),13,10,258,28.66,77.24,1,0
852,ML Udawatte (SL),9,9,257,28.55,67.1,0,2
853,SS Dighe (INDIA),23,17,256,23.27,60.8,0,1
854,R Edwards (AUS),9,8,255,36.42,73.06,0,3
855,AD Poynter (IRE),19,16,255,19.61,61.89,0,2
856,N Vanua (PNG),23,20,254,14.94,87.88,0,0
857,S Ranatunga (SL),13,11,253,23,48.09,0,2
