,Player,Mat,Inns,Runs,Ave,SR,100,50
94,MD Crowe (NZ),143,140,4704,38.55,72.63,4,34
95,MV Boucher (Afr/SA),295,221,4686,28.57,84.76,1,26
96,AJ Stewart (ENG),170,162,4677,31.6,68.36,4,28
97,AJ Finch (AUS),119,115,4559,40.34,89.51,15,24
98,SB Styris (NZ),188,161,4483,32.48,79.41,4,28
99,KP Pietersen (ENG/ICC),136,125,4440,40.73,86.58,9,25
100,NS Sidhu (INDIA),136,127,4413,37.08,69.72,6,33
101,CZ Harris (NZ),250,213,4379,29,66.51,1,16
102,GR Marsh (AUS),117,115,4357,39.97,55.93,9,22
103,E Chigumbura (Afr/ZIM),213,198,4340,25.23,80.02,2,19
104,ME Trescothick (ENG),123,122,4335,37.37,85.21,12,21
105,GA Gooch (ENG),125,122,4290,36.98,61.88,8,23
106,AJ Strauss (ENG),127,126,4205,35.63,80.94,6,27
107,K Srikkanth (INDIA),146,145,4091,29.01,71.74,4,27
108,PR Stirling (IRE),114,111,4038,37.04,87.27,8,23
109,WTS Porterfield (IRE),136,133,4037,31.05,69.38,11,17
110,AJ Lamb (ENG),122,118,4010,39.31,75.54,4,26
111,Mahmudullah (BDESH),185,160,3994,33.84,76.48,3,21
112,RP Arnold (SL),180,155,3950,35.26,72.57,1,28
113,AP Gurusinha (SL),147,143,3902,28.27,60.88,2,22
114,JG Wright (NZ),149,148,3891,26.46,57.18,1,24
115,DJ Cullinan (SA),138,133,3860,32.99,70.28,3,23
116,GA Hick (ENG),120,118,3846,37.33,74.08,5,27
117,JC Buttler (ENG),142,117,3843,40.88,119.83,9,20
118,SPD Smith (AUS),118,104,3810,41.41,86.31,8,23
119,HP Tillakaratne (SL),200,168,3789,29.6,57.51,2,13
120,N Kapil Dev (INDIA),225,198,3783,23.79,95.07,1,14
121,Wasim Akram (PAK),356,280,3717,16.52,88.33,0,6
122,SC Williams (ZIM),131,127,3717,34.1,81.76,3,31
123,RS Kaluwitharana (SL),189,181,3711,22.22,77.7,2,23
124,Imran Khan (PAK),175,151,3709,33.41,72.65,1,19
